Postavka;leto;zavarovalnica;Segment;Znesek;Segment_slo;Segment_ang;Segment_num;kratica
CR;2019;Triglav Re;C0040;0,953729027;Zavarovanje avtomobilske odgovornosti;motor vehicle liability insurance;1;AO
CR;2019;Triglav Re;C0050;1,193303737;Druga zavarovanja motornih vozil;other motor insurance;2;DMZ
CR;2019;Triglav Re;C0070;0,962159296;Požarno in drugo škodno zavarovanje;fire and other damage to property insurance;4;POZ
CR;2019;Triglav Re;C0080;0,444181926;Splošno zavarovanje odgovornosti;general liability insurance;5;SZO
CR;2019;Triglav Re;C0110;0,907079646;Zavarovanje pomoči;assistance;8;ZP
PREMIJA;2020;Sava;C0040;134325;Zavarovanje avtomobilske odgovornosti;motor vehicle liability insurance;1;AO
PREMIJA;2020;Sava;C0050;122320;Druga zavarovanja motornih vozil;other motor insurance;2;DMZ
PREMIJA;2020;Sava;C0070;107458;Požarno in drugo škodno zavarovanje;fire and other damage to property insurance;4;POZ
PREMIJA;2020;Sava;C0080;28918;Splošno zavarovanje odgovornosti;general liability insurance;5;SZO
PREMIJA;2020;Sava;C0110;16788;Zavarovanje pomoči;assistance;8;ZP
CR;2020;Sava;C0040;0,917997394;Zavarovanje avtomobilske odgovornosti;motor vehicle liability insurance;1;AO
CR;2020;Sava;C0050;0,86734794;Druga zavarovanja motornih vozil;other motor insurance;2;DMZ
CR;2020;Sava;C0070;1,068231309;Požarno in drugo škodno zavarovanje;fire and other damage to property insurance;4;POZ
CR;2020;Sava;C0080;0,485545335;Splošno zavarovanje odgovornosti;general liability insurance;5;SZO
CR;2020;Sava;C0110;0,93656183;Zavarovanje pomoči;assistance;8;ZP
PREMIJA;2020;Triglav;C0040;92725;Zavarovanje avtomobilske odgovornosti;motor vehicle liability insurance;1;AO
PREMIJA;2020;Triglav;C0050;116806;Druga zavarovanja motornih vozil;other motor insurance;2;DMZ
PREMIJA;2020;Triglav;C0070;99372;Požarno in drugo škodno zavarovanje;fire and other damage to property insurance;4;POZ
PREMIJA;2020;Triglav;C0080;26563;Splošno zavarovanje odgovornosti;general liability insurance;5;SZO
PREMIJA;2020;Triglav;C0110;17088;Zavarovanje pomoči;assistance;8;ZP
CR;2020;Triglav;C0040;0,980221084;Zavarovanje avtomobilske odgovornosti;motor vehicle liability insurance;1;AO
CR;2020;Triglav;C0050;0,858603154;Druga zavarovanja motornih vozil;other motor insurance;2;DMZ
CR;2020;Triglav;C0070;0,891277221;Požarno in drugo škodno zavarovanje;fire and other damage to property insurance;4;POZ
CR;2020;Triglav;C0080;0,337499529;Splošno zavarovanje odgovornosti;general liability insurance;5;SZO
CR;2020;Triglav;C0110;1,011587079;Zavarovanje pomoči;assistance;8;ZP
PREMIJA;2020;Generali;C0040;54050;Zavarovanje avtomobilske odgovornosti;motor vehicle liability insurance;1;AO
PREMIJA;2020;Generali;C0050;58131;Druga zavarovanja motornih vozil;other motor insurance;2;DMZ
PREMIJA;2020;Generali;C0070;44793;Požarno in drugo škodno zavarovanje;fire and other damage to property insurance;4;POZ
PREMIJA;2020;Generali;C0080;12015;Splošno zavarovanje odgovornosti;general liability insurance;5;SZO
PREMIJA;2020;Generali;C0110;7200;Zavarovanje pomoči;assistance;8;ZP
CR;2020;Generali;C0040;0,915430157;Zavarovanje avtomobilske odgovornosti;motor vehicle liability insurance;1;AO
CR;2020;Generali;C0050;0,964820836;Druga zavarovanja motornih vozil;other motor insurance;2;DMZ
CR;2020;Generali;C0070;1,045386556;Požarno in drugo škodno zavarovanje;fire and other damage to property insurance;4;POZ
CR;2020;Generali;C0080;0,662089055;Splošno zavarovanje odgovornosti;general liability insurance;5;SZO
CR;2020;Generali;C0110;0,932083333;Zavarovanje pomoči;assistance;8;ZP
PREMIJA;2020;Grawe;C0040;3430;Zavarovanje avtomobilske odgovornosti;motor vehicle liability insurance;1;AO
PREMIJA;2020;Grawe;C0050;3036;Druga zavarovanja motornih vozil;other motor insurance;2;DMZ
PREMIJA;2020;Grawe;C0070;3719;Požarno in drugo škodno zavarovanje;fire and other damage to property insurance;4;POZ
PREMIJA;2020;Grawe;C0080;376;Splošno zavarovanje odgovornosti;general liability insurance;5;SZO
PREMIJA;2020;Grawe;C0110;514;Zavarovanje pomoči;assistance;8;ZP
CR;2020;Grawe;C0040;1,146355685;Zavarovanje avtomobilske odgovornosti;motor vehicle liability insurance;1;AO
CR;2020;Grawe;C0050;1,583333333;Druga zavarovanja motornih vozil;other motor insurance;2;DMZ
CR;2020;Grawe;C0070;1,029040065;Požarno in drugo škodno zavarovanje;fire and other damage to property insurance;4;POZ
CR;2020;Grawe;C0080;0,492021277;Splošno zavarovanje odgovornosti;general liability insurance;5;SZO
CR;2020;Grawe;C0110;1,208171206;Zavarovanje pomoči;assistance;8;ZP
PREMIJA;2020;Sava Re;C0040;14730;Zavarovanje avtomobilske odgovornosti;motor vehicle liability insurance;1;AO
PREMIJA;2020;Sava Re;C0050;18011;Druga zavarovanja motornih vozil;other motor insurance;2;DMZ
PREMIJA;2020;Sava Re;C0070;54961;Požarno in drugo škodno zavarovanje;fire and other damage to property insurance;4;POZ
